                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0726,                0.48973,                 1.0895,                 0.9851,                0.99073,                0.99354,                0.75314,                0.98759,                0.34086,                 1.0757,              0.0098767,              0.0098767,              0.0098767
                     69,                 1.0762,                0.48971,                 1.0926,                0.98461,                0.99053,                0.99355,                0.75376,                 0.9875,                0.34088,                 1.0756,              0.0098748,              0.0098748,              0.0098748
                     70,                 1.0707,                 0.4888,                 1.0875,                0.98419,                0.99043,                0.99352,                0.75347,                 0.9872,                 0.3408,                 1.0754,               0.009873,               0.009873,               0.009873
                     71,                 1.0704,                0.48762,                 1.0858,                0.98499,                0.98987,                 0.9935,                0.75362,                0.98696,                0.34077,                 1.0755,              0.0098711,              0.0098711,              0.0098711
                     72,                 1.0661,                0.48432,                 1.0862,                0.98547,                0.98976,                0.99356,                0.75336,                0.98714,                0.34097,                 1.0759,              0.0098692,              0.0098692,              0.0098692
                     73,                 1.0718,                0.48656,                 1.0879,                0.98527,                0.98997,                0.99361,                0.75339,                0.98679,                0.34081,                 1.0758,              0.0098674,              0.0098674,              0.0098674
                     74,                 1.0739,                0.48904,                 1.0932,                0.98585,                0.98957,                0.99361,                0.75277,                0.98597,                0.34102,                 1.0755,              0.0098655,              0.0098655,              0.0098655
                     75,                 1.0746,                0.48764,                 1.0911,                0.98515,                0.98955,                0.99361,                0.75339,                0.98619,                0.34123,                 1.0753,              0.0098636,              0.0098636,              0.0098636
                     76,                 1.0731,                0.48851,                 1.0897,                0.98498,                0.98973,                 0.9936,                0.75352,                0.98567,                0.34172,                 1.0749,              0.0098618,              0.0098618,              0.0098618
                     77,                  1.074,                0.48801,                 1.0832,                0.98471,                0.98962,                0.99342,                0.75399,                0.98514,                 0.3413,                 1.0741,              0.0098599,              0.0098599,              0.0098599
                     78,                 1.0681,                 0.4873,                 1.0839,                0.98418,                0.98973,                0.99345,                0.75369,                0.98504,                  0.341,                 1.0739,               0.009858,               0.009858,               0.009858
                     79,                 1.0668,                0.48469,                 1.0797,                0.98455,                0.98965,                0.99347,                0.75398,                0.98479,                0.34068,                 1.0734,              0.0098562,              0.0098562,              0.0098562
                     80,                 1.0688,                0.48494,                 1.0797,                0.98487,                0.98914,                0.99349,                0.75345,                0.98509,                0.33978,                  1.073,              0.0098543,              0.0098543,              0.0098543
